Feature,Importance
categorical__Ingredient_EPHEDRINE SULFATE,0.00054833875
categorical__Strength_100MG/10ML (10MG/ML),0.00054332253
categorical__DF;Route_SHAMPOO;TOPICAL,0.000542533
categorical__Ingredient_CIPROFLOXACIN HYDROCHLORIDE,0.0005419196
categorical__Strength_1%,0.0005344217
categorical__Dosage_Form_SWAB,0.0005312192
categorical__Strength_1MG/ML,0.0005252513
categorical__Ingredient_TRETINOIN,0.0005232597
categorical__Strength_2.5MG;2.5MG;2.5MG;2.5MG,0.0005210644
categorical__DF;Route_SOLUTION;DENTAL,0.0005165067
categorical__Strength_EQ 0.09% ACID,0.0005158383
categorical__Strength_10MEQ,0.0005143168
categorical__Strength_0.75%,0.00051199563
categorical__Ingredient_BROMFENAC SODIUM,0.00051068474
"categorical__DF;Route_POWDER;INTRACAVITARY, INTRAVENOUS, INTRAVESICAL",0.00050590833
categorical__Strength_20MG,0.00050474127
categorical__Strength_1GM/100ML (10MG/ML),0.000489405
categorical__Strength_12.5MG;12.5MG;12.5MG;12.5MG,0.0004892711
categorical__Strength_1GM/10ML (100MG/ML),0.00048452325
categorical__Strength_600MG,0.00048437808
categorical__Strength_0.5%,0.00048119552
categorical__Strength_100MG,0.0004698423
"categorical__Route_Of_Administration_INTRAMUSCULAR, INTRAVENOUS",0.00046503023
categorical__Ingredient_DORZOLAMIDE HYDROCHLORIDE; TIMOLOL MALEATE,0.0004640694
categorical__Strength_9.375MG;9.375MG;9.375MG;9.375MG,0.0004636345
categorical__Strength_3.75MG;3.75MG;3.75MG;3.75MG,0.00046137467
categorical__Strength_300MG,0.00045983787
categorical__Strength_2.5MG,0.0004576016
categorical__Route_Of_Administration_INTRAVESICAL,0.00045425107
categorical__Dosage_Form_EMULSION,0.00045410806
categorical__Ingredient_METRONIDAZOLE,0.00045186304
categorical__DF;Route_SWAB;TOPICAL,0.0004509089
categorical__Ingredient_CARBAMAZEPINE,0.00044930345
"categorical__DF;Route_SOLUTION, GEL FORMING/DROPS;OPHTHALMIC",0.00044582886
categorical__Strength_1GM,0.00044095961
categorical__Strength_20MG/ML,0.0004360382
categorical__DF;Route_SOLUTION;IM-IV,0.0004340519
categorical__Strength_EQ 1MG BASE/ML,0.0004335429
categorical__DF;Route_SOLUTION;INTRAVESICAL,0.00041973282
categorical__Ingredient_DESONIDE,0.00040830695
categorical__Strength_0.15%,0.00040795136
categorical__Strength_15MEQ,0.00039990307
categorical__Strength_400MG,0.00039146087
categorical__Strength_EQ 1.5MG BASE/VIAL,0.00039039925
categorical__Strength_EQ 0.5MG BASE/VIAL,0.00038974927
categorical__DF;Route_SUSPENSION/DROPS;OTIC,0.00038502555
"categorical__DF;Route_INJECTABLE;INTRAMUSCULAR, INTRAVENOUS",0.00037880125
categorical__Ingredient_DEXAMETHASONE,0.00037767054
categorical__Strength_60MG,0.0003702221
categorical__Strength_30MG,0.00036792093
categorical__Strength_0.2%,0.00035857546
categorical__Ingredient_BUDESONIDE,0.0003579107
categorical__Strength_6.25MG;6.25MG;6.25MG;6.25MG,0.0003574334
categorical__Strength_54MG,0.00035517116
categorical__Strength_90MG/10ML (9MG/ML),0.00034565773
categorical__Ingredient_TESTOSTERONE ENANTHATE,0.00034487364
categorical__Strength_0.5MG/5ML (0.1MG/ML),0.00034480097
categorical__Ingredient_MAGNESIUM SULFATE,0.000344689
categorical__Strength_EQ 0.5% BASE,0.0003429848
categorical__Ingredient_ATROPINE SULFATE,0.0003384151
categorical__Ingredient_LEVOCARNITINE,0.00033229322
categorical__Ingredient_BRIMONIDINE TARTRATE,0.00033221918
categorical__Ingredient_FONDAPARINUX SODIUM,0.00032509692
categorical__Strength_0.75MG,0.0003204871
categorical__Strength_50MG,0.00031996876
categorical__Ingredient_RANOLAZINE,0.0003188961
categorical__Dosage_Form_SUSPENSION,0.00031707442
categorical__Strength_50MG/5ML (10MG/ML),0.0003170036
"categorical__Dosage_Form_INJECTABLE, LIPOSOMAL",0.00031510837
categorical__Ingredient_METHYLPHENIDATE,0.00031319138
categorical__Strength_25MG/VIAL,0.00030992756
categorical__Strength_10MG/ML (10MG/ML),0.0003093127
categorical__DF;Route_POWDER;INTRAMUSCULAR,0.00030244
categorical__Strength_50MG/5GM PACKET,0.00029856747
categorical__Strength_EQ 4MG BASE,0.00029455964
categorical__Ingredient_DEHYDRATED ALCOHOL,0.00028818732
categorical__Strength_EQ 0.07% ACID,0.0002881532
categorical__DF;Route_SOLUTION;INTRA-ARTERIAL,0.00028505558
categorical__Strength_50MG/10ML (5MG/ML),0.000275707
categorical__Appl_Type_N,0.0002577372
