Gnrc_Name,Brnd_Name,Tot_Clms,Tot_Drug_Cst,Tot_Benes,Tot_30day_Fills,Tot_Day_Suply,year
Dorzolamide/Timolol/Pf,Dorzolamide-Timolol,98872,16096781.629999997,27904.0,159057.00000000003,4721082,2024
Sulindac,Sulindac,98156,1674899.6300000004,38656.0,121706.50000000003,3213412,2024
Tobramycin,Tobramycin,97605,2403375.02,71805.0,100786.69999999998,1819228,2024
Dolutegravir/Rilpivirine,Juluca,97084,353946122.4999999,16870.0,102076.5,3051163,2024
Dalfampridine,Dalfampridine Er,96448,61625591.67999997,20050.0,128390.5,3782351,2024
Parenteral Amino Acid 20% No.1,Prosol,95781,16039784.71,9053.0,95781.0,660045,2024
Difluprednate,Difluprednate,94835,10211259.0,44275.0,113432.6,2792590,2024
Macitentan,Opsumit,93092,1177584021.8899996,13438.0,93745.3,2803657,2024
Theophylline Anhydrous,Theophylline Er,92933,7581442.760000001,25889.0,139367.3,4010697,2024
Entacapone,Entacapone,92140,14048891.269999998,24648.0,148474.60000000003,4179370,2024
Memantine Hcl/Donepezil Hcl,Namzaric,90765,50136386.77999998,19807.0,104987.99999999996,2562269,2024
Imipramine Hcl,Imipramine Hcl,88717,1594042.5099999998,26883.0,126044.29999999996,3636094,2024
Zaleplon,Zaleplon,88063,1780905.2799999998,28286.0,98266.00000000001,2807437,2024
Nateglinide,Nateglinide,87375,4542964.8999999985,24731.0,168251.80000000008,4963445,2024
Epoetin Alfa,Epogen,87015,122974223.69000003,21942.0,90977.99999999997,2010601,2024
Liraglutide,Victoza 3-Pak,86554,72020144.79000002,28959.0,108606.6,3179601,2024
Valganciclovir Hcl,Valganciclovir Hcl,86294,20456460.909999996,35453.0,108627.29999999999,3203495,2024
Plecanatide,Trulance,86086,62587428.80000001,25361.0,115565.1,3442552,2024
Fesoterodine Fumarate,Fesoterodine Fumarate Er,86039,8469812.01,25535.0,123880.0,3581535,2024
Desonide,Desonide,85914,4651533.0,55556.0,89819.1,2179791,2024
Empaglifloz/Linaglip/Metformin,Trijardy Xr,85911,69976423.61999999,19251.0,122626.3,3662603,2024
Risperidone Microspheres,Risperdal Consta,85616,110290835.36,19331.0,85749.69999999998,1623467,2024
Exenatide Microspheres,Bydureon Bcise,85420,89277848.66,25636.0,111997.99999999999,3173448,2024
Empagliflozin/Linagliptin,Glyxambi,85355,77173754.48999996,21230.0,133164.99999999994,3945092,2024
Darunavir/Cobicistat,Prezcobix,85239,216510876.85000005,15284.0,90088.1,2665898,2024
Ustekinumab,Stelara,85101,2252981771.46,18464.0,130349.50000000003,3838444,2024
Ezetimibe/Simvastatin,Ezetimibe-Simvastatin,84801,7110494.120000001,27136.0,194795.69999999998,5789712,2024
Glucagon,Gvoke Hypopen 1-Pack,84427,42487118.45,49368.0,89704.1,1231189,2024
Linagliptin/Metformin Hcl,Jentadueto,83185,53718584.08,19899.0,111351.09999999999,3290700,2024
Benzonatate,Benzonatate,82852,1121129.3699999996,62571.0,83080.50000000001,835885,2024
Emtricitab/Rilpiviri/Tenof Ala,Odefsey,82689,315804894.59000003,15289.0,88510.9,2649602,2024
Nadolol,Nadolol,82080,3853800.4100000006,25883.0,154611.0,4521026,2024
Entecavir,Entecavir,81911,16408860.950000001,20945.0,138821.89999999997,4138021,2024
Venetoclax,Venclexta,81793,715904297.3299998,20377.0,82359.40000000001,2268309,2024
Leucovorin Calcium,Leucovorin Calcium,80934,3224396.81,23633.0,170762.3,4976669,2024
Apalutamide,Erleada,80841,1166878397.0200002,15433.0,83189.6,2492330,2024
Esketamine Hcl,Spravato,80669,120604476.78,7655.0,80699.5,566265,2024
Omalizumab,Xolair,80363,262078874.82999995,15611.0,82411.8,2288398,2024
Econazole Nitrate,Econazole Nitrate,80295,2702742.0000000005,41845.0,88073.99999999999,2349459,2024
Pomalidomide,Pomalyst,79949,1738046814.1399996,18415.0,79967.7,2214561,2024
Fremanezumab-Vfrm,Ajovy Autoinjector,79571,66251478.280000016,19380.0,97099.50000000003,2863274,2024
Osimertinib Mesylate,Tagrisso,79546,1338277910.83,16408.0,80358.1,2404292,2024
Calcipotriene,Calcipotriene,79221,12867220.8,41564.0,86018.90000000001,2410672,2024
Clomipramine Hcl,Clomipramine Hcl,78450,8626136.730000002,19900.0,88625.70000000001,2450490,2024
Omeprazole/Sodium Bicarbonate,Konvomep,77726,101128660.32999997,15856.0,93456.30000000002,2706921,2024
Benazepril/Hydrochlorothiazide,Benazepril-Hydrochlorothiazide,77653,2360820.85,23789.0,178762.4,5306698,2024
Darunavir/Cob/Emtri/Tenof Alaf,Symtuza,76838,373028942.6199998,13934.0,80610.9,2413829,2024
Glatiramer Acetate,Glatiramer Acetate,76592,297193453.18999994,18870.0,80982.00000000001,2242031,2024
Beclomethasone Dipropionate,Qvar Redihaler,74209,23997020.800000004,24719.0,105129.39999999998,3140364,2024
Immune Globul G/Gly/Iga Avg 46,Gamunex-C,74120,686402688.8599999,12545.0,75145.00000000001,1908951,2024
Onabotulinumtoxina,Botox,71233,98448339.86999999,26596.0,200029.3,5991146,2024
Abaloparatide,Tymlos,70786,202816426.51999998,15403.0,76908.1,2304756,2024
Nystatin/Triamcinolone Acet,Nystatin-Triamcinolone,70393,2047669.7899999998,33982.0,72966.39999999998,1434553,2024
Armodafinil,Armodafinil,70176,5610750.35,19499.0,84663.19999999998,2496641,2024
Tocilizumab,Actemra,69536,271216463.4699999,16029.0,74619.2,2085314,2024
Desloratadine,Desloratadine,68861,2467933.660000001,24549.0,113508.20000000003,3314471,2024
Olmesartan/Amlodipin/Hcthiazid,Olmesartan-Amlodipine-Hctz,68359,7571747.900000002,19923.0,142970.9,4262382,2024
Eslicarbazepine Acetate,Aptiom,68101,110556377.94000006,13331.0,73757.29999999999,1887832,2024
Clorazepate Dipotassium,Clorazepate Dipotassium,66221,5619128.949999999,19660.0,69730.70000000001,1973795,2024
Phenytoin,Phenytoin,65894,2522938.44,17563.0,70762.20000000001,1706482,2024
Darolutamide,Nubeqa,64907,828748991.2700001,13032.0,65444.4,1958450,2024
Aripiprazole Lauroxil,Aristada,63377,188089683.46999994,14614.0,72801.50000000001,2088219,2024
"Calcitonin,salmon,synthetic",Calcitonin-Salmon,63142,5597020.319999998,21156.0,79856.10000000002,2377848,2024
Tapentadol Hcl,Nucynta,62408,71961869.25,16531.0,62523.19999999999,1743915,2024
Tafluprost/Pf,Tafluprost,59937,13211334.409999995,16287.0,92514.90000000001,2739772,2024
Glycopyrrolate/Formoterol Fum,Bevespi Aerosphere,59678,28994624.83,17430.0,70981.79999999999,2126849,2024
Fenofibric Acid (Choline),Fenofibric Acid,58542,2769864.5999999996,17547.0,115603.80000000002,3423101,2024
Ambrisentan,Ambrisentan,57847,221256909.30999997,9893.0,59846.399999999994,1791761,2024
Mepolizumab,Nucala,57845,248787539.73999998,13613.0,59564.1,1677961,2024
Glyburide,Glyburide,57693,738002.8,17940.0,109532.09999999999,3217365,2024
Azelastine/Fluticasone,Azelastine-Fluticasone,57678,7148522.069999999,21296.0,75088.4,2229449,2024
Immun Glob G(Igg)/Pro/Iga 0-50,Hizentra,57355,586576466.4200001,10904.0,57913.0,1499215,2024
Fosinopril Sodium,Fosinopril Sodium,57128,974997.8500000003,17553.0,121984.10000000002,3603952,2024
Olanzapine/Samidorphan Malate,Lybalvi,57102,91004428.01999998,12776.0,58194.89999999998,1675375,2024
Bempedoic Acid/Ezetimibe,Nexlizet,57035,37996452.599999994,15614.0,97087.1,2906974,2024
Teriflunomide,Aubagio,56860,161123817.66999996,12198.0,63278.19999999999,1878057,2024
Balsalazide Disodium,Balsalazide Disodium,56768,9286548.750000004,15758.0,97367.9,2849806,2024
Rifampin,Rifampin,56546,3281069.0,16444.0,72670.5,2066338,2024
Fluocinolone Acetonide,Fluocinolone Acetonide,56448,2775969.44,31128.0,60521.000000000015,1663740,2024
Prucalopride Succinate,Motegrity,56364,40654799.68,15368.0,77622.1,2292521,2024
Dimethyl Fumarate,Dimethyl Fumarate,56069,156122701.41000012,13435.0,63240.399999999994,1876671,2024
Estazolam,Estazolam,55862,3224731.540000001,10454.0,56209.700000000004,1671958,2024
Indomethacin,Indomethacin,55848,725710.1799999999,21487.0,64483.2,1493486,2024
Ixekizumab,Taltz Autoinjector,55560,409639368.51,15317.0,57815.00000000001,1626192,2024
Cefepime Hcl,Cefepime Hcl,55332,10149307.170000002,16032.0,55343.200000000004,331748,2024
Niacin,Niacin Er,55314,3650785.230000001,17157.0,96857.99999999999,2825595,2024
Cevimeline Hcl,Cevimeline Hcl,55174,8763009.320000002,16200.0,92975.4,2717745,2024
Chlordiazepoxide Hcl,Chlordiazepoxide Hcl,54796,518882.70999999996,14682.0,55714.29999999999,1598264,2024
Meropenem,Meropenem,54477,10127155.24,15472.0,54485.2,282466,2024
Fluphenazine Decanoate,Fluphenazine Decanoate,54161,5484502.369999999,12416.0,58371.099999999984,1494210,2024
Immun Glob G(Igg)/Gly/Iga Ov50,Gammagard Liquid,54027,538004813.9499999,10035.0,54658.200000000004,1394195,2024
Abemaciclib,Verzenio,53775,787406593.2900003,12311.0,53988.2,1505439,2024
Risankizumab-Rzaa,Skyrizi Pen,53448,1099627417.53,16163.0,129112.0,3859941,2024
Ferric Citrate,Auryxia,53294,95505404.01,13650.0,69710.4,2017565,2024
"Pen Needle, Diabetic, Safety",Comfort Ez Pro Safety Pen Ndl,52672,4793098.850000001,16313.0,59875.200000000004,1500593,2024
Ofatumumab,Kesimpta Pen,52350,500831112.46999985,9331.0,54696.09999999999,1591515,2024
Efinaconazole,Jublia,52039,60865267.269999996,14954.0,56838.7,1675884,2024
Clarithromycin,Clarithromycin,52036,1458023.0399999998,40964.0,53230.69999999999,706434,2024
Neomycin Sulfate,Neomycin Sulfate,51982,433660.80000000005,47504.0,52140.9,149367,2024
Tenofovir Disoproxil Fumarate,Tenofovir Disoproxil Fumarate,51818,8515465.2,13092.0,86580.99999999999,2587794,2024
Permethrin,Permethrin,51756,3128511.900000001,29755.0,52386.7,516653,2024
Dexamethasone Sodium Phosphate,Dexamethasone Sodium Phosphate,51265,1635686.3899999997,28531.0,58667.20000000002,1164510,2024
Raltegravir Potassium,Isentress,50809,104356437.59,12294.0,53159.9,1573022,2024
Candesartan/Hydrochlorothiazid,Candesartan-Hydrochlorothiazid,50768,6335241.99,13619.0,106587.7,3186203,2024
Peg3350/Sod Sul/Nacl/Kcl/Asb/C,Peg3350-Sod Sul-Nacl-Kcl-Asb-C,50568,6480188.340000001,49536.0,50609.3,97664,2024
Ethambutol Hcl,Ethambutol Hcl,50246,2465214.069999999,12260.0,68356.19999999998,1988752,2024
Rotigotine,Neupro,50058,54958909.190000005,13061.0,67148.40000000001,1961432,2024
Bepotastine Besilate,Bepotastine Besilate,49349,8005945.000000003,13630.0,62728.20000000002,1754113,2024
Valproic Acid,Valproic Acid,49337,2106372.0299999993,14324.0,53164.3,1322468,2024
Molnupiravir,Lagevrio (Eua),48845,30117423.95999999,48071.0,48849.600000000006,246437,2024
Bempedoic Acid,Nexletol,48827,30657243.739999995,14074.0,78403.90000000001,2348737,2024
Insulin Lispro-Aabc,Lyumjev Kwikpen U-100,48369,40006309.92999999,14820.0,82720.1,2286114,2024
Cholestyramine,Cholestyramine Light,48194,4020862.4699999997,17615.0,61806.7,1700222,2024
Riociguat,Adempas,47812,652245459.96,7207.0,48083.0,1417362,2024
