Gnrc_Name,Brnd_Name,Tot_Clms,Tot_Drug_Cst,Tot_Benes,Tot_30day_Fills,Tot_Day_Suply,year
Acyclovir/Hydrocortisone,Xerese,14,1380625.05,5.0,30.0,900,2019
Acyclovir/Hydrocortisone,Xerese,12,31193.52,5.0,12.0,360,2024
Adagrasib,Krazati,102,1812196.56,35.0,102.0,2829,2023
Adagrasib,Krazati,892,14983346.959999995,300.0,894.4,26588,2024
Adalimumab,Humira,424600,2718132689.38,93062.0,455526.3000000001,12804103,2019
Adalimumab,Humira(Cf) Pen,453308,3171285632.1000004,97147.0,490164.6999999999,13790166,2020
Adalimumab,Humira(Cf) Pen,492100,3695576974.6500006,102565.0,522210.6,14663773,2021
Adalimumab,Humira(Cf) Pen,532330,4329903625.97,107906.0,562199.1,15780277,2022
Adalimumab,Humira(Cf) Pen,545396,4884226408.42,108243.0,570830.7000000001,15994742,2023
Adalimumab,Humira(Cf) Pen,541153,4628444081.160001,106512.0,573850.8999999999,16125610,2024
Adalimumab-Aacf,Idacio(Cf) Pen (2 Pack),472,709349.7,121.0,473.8,13067,2024
Adalimumab-Aaty,Yuflyma(Cf) Autoinject (2 Pck),1179,10130363.54,455.0,1182.0,32573,2024
Adalimumab-Adaz,Adalimumab-Adaz(Cf) Pen,810,1941589.53,247.0,873.7,24605,2024
Adalimumab-Adbm,Cyltezo(Cf) Pen,3590,27600882.280000005,1149.0,3635.2,101595,2024
Adalimumab-Aqvh,Yusimry(Cf) Pen,248,293469.24,95.0,248.0,6772,2024
Adalimumab-Atto,Amjevita(Cf),13445,29697457.78999999,3139.0,15846.299999999996,449610,2023
Adalimumab-Atto,Amjevita(Cf) Autoinjector,22415,33917499.12999999,5041.0,27968.9,796272,2024
Adalimumab-Bwwd,Hadlima(Cf) Pushtouch,41,43717.38,16.0,41.0,1150,2023
Adalimumab-Bwwd,Hadlima Pushtouch,3127,3084445.5899999994,688.0,3176.9,79077,2024
Adalimumab-Fkjp,Adalimumab-Fkjp(Cf),84,147950.52999999997,35.0,84.0,2325,2024
Adalimumab-Ryvk,Simlandi(Cf) Autoinjector,67,80223.73,20.0,70.6,1988,2024
"Adamts13, Recombinant-Krhn",Adzynma,26,928451.69,5.0,26.0,720,2024
Adapalene,Adapalene,2311,409445.9500000001,926.0,2395.9,65264,2019
Adapalene,Adapalene,2882,650725.41,1342.0,3219.4,89776,2020
Adapalene,Adapalene,1765,758158.92,705.0,1867.7,51945,2021
Adapalene,Adapalene,1522,2811238.0200000005,605.0,1598.8,43953,2022
Adapalene,Adapalene,1512,1056688.6300000004,609.0,1634.4,46265,2023
Adapalene,Adapalene,1738,1433819.6700000002,736.0,1899.8,53425,2024
Adapalene/Benzoyl Peroxide,Epiduo Forte,130,44633.07000000001,55.0,130.0,3491,2019
Adapalene/Benzoyl Peroxide,Epiduo Forte,174,57703.75,79.0,178.0,4931,2020
Adapalene/Benzoyl Peroxide,Epiduo Forte,133,40756.4,60.0,133.0,3810,2021
Adapalene/Benzoyl Peroxide,Adapalene-Benzoyl Peroxide,147,26479.06,76.0,150.0,4400,2022
Adapalene/Benzoyl Peroxide,Adapalene-Benzoyl Peroxide,179,25156.65,84.0,184.8,5177,2023
Adapalene/Benzoyl Peroxide,Adapalene-Benzoyl Peroxide,148,7631.6,72.0,149.5,4199,2024
Adapalene/Benzoyl/Clindamycin,Cabtreo,55,48826.97,13.0,55.0,1650,2024
Adefovir Dipivoxil,Adefovir Dipivoxil,2739,2296814.860000001,1010.0,2796.1,83474,2019
Adefovir Dipivoxil,Adefovir Dipivoxil,2595,2233851.7800000003,975.0,2747.0,81931,2020
Adefovir Dipivoxil,Adefovir Dipivoxil,2177,1805427.92,805.0,2320.9,67070,2021
Adefovir Dipivoxil,Adefovir Dipivoxil,1580,1285336.85,550.0,1757.5,48004,2022
Adefovir Dipivoxil,Adefovir Dipivoxil,1140,901120.1,405.0,1271.3,37793,2023
Adefovir Dipivoxil,Adefovir Dipivoxil,1142,733323.19,385.0,1223.3,36696,2024
