Ingredient,DF;Route,Trade_Name,Applicant,Strength,Appl_Type,Appl_No,Product_No,TE_Code,Approval_Date,RLD,RS,Type,Applicant_Full_Name,Dosage_Form,Route_Of_Administration,Approved_Prior_To_1982,Approval_Date_ISO,AB_Family,RLD_Trade_Name,RLD_Appl_No,RLD_Product_No,RLD_TE_Code,Patent_Count,Patent_Numbers,Patent_Expiry,Patent_Use_Codes,Exclusivity_Count,Exclusivity_Codes,Exclusivity_Dates,Predicted_TE_Code,TE_Score,Patent_Score,Exclusivity_Score,RS_Score,Final_Score,Rank
RILUZOLE,TABLET;ORAL,RILUZOLE,ALKEM LABS LTD,50MG,A,204048,1,AB,"Mar 30, 2016",False,True,RX,ALKEM LABORATORIES LTD,TABLET,ORAL,False,2016-03-30,True,RILUTEK,20599,1,,0.0,,,,0.0,,,AB,1.0,1.0,1.0,1.0,1.0,36
AMOXICILLIN; CLAVULANATE POTASSIUM,TABLET;ORAL,AMOXICILLIN AND CLAVULANATE POTASSIUM,SANDOZ,875MG;EQ 125MG BASE,A,65063,1,AB,"Mar 14, 2002",False,True,RX,SANDOZ INC,TABLET,ORAL,False,2002-03-14,True,AUGMENTIN '875',50720,1,AB,0.0,,,,0.0,,,AB,1.0,1.0,1.0,1.0,1.0,37
SEVELAMER CARBONATE,TABLET;ORAL,SEVELAMER CARBONATE,AUROBINDO PHARMA,800MG,A,207179,1,AB,"Jul 17, 2017",False,True,RX,AUROBINDO PHARMA LTD,TABLET,ORAL,False,2017-07-17,True,RENVELA,22127,1,,0.0,,,,0.0,,,AB,1.0,1.0,1.0,1.0,1.0,38
PYRAZINAMIDE,TABLET;ORAL,PYRAZINAMIDE,HIKMA,500MG,A,81319,1,AB,"Jun 30, 1992",False,True,RX,HIKMA PHARMACEUTICALS USA INC,TABLET,ORAL,False,1992-06-30,True,PYRAZINAMIDE,80157,1,AB,0.0,,,,0.0,,,AB,1.0,1.0,1.0,1.0,1.0,39
BENAZEPRIL HYDROCHLORIDE; HYDROCHLOROTHIAZIDE,TABLET;ORAL,BENAZEPRIL HYDROCHLORIDE AND HYDROCHLOROTHIAZIDE,SANDOZ,20MG;25MG,A,76631,4,AB,"Feb 11, 2004",False,True,RX,SANDOZ INC,TABLET,ORAL,False,2004-02-11,True,LOTENSIN HCT,20033,3,AB,0.0,,,,0.0,,,AB,1.0,1.0,1.0,1.0,1.0,40
PROPAFENONE HYDROCHLORIDE,"CAPSULE, EXTENDED RELEASE;ORAL",PROPAFENONE HYDROCHLORIDE,STRIDES PHARMA INTL,425MG,A,78540,3,AB,"Oct 18, 2010",False,True,RX,STRIDES PHARMA INTERNATIONAL AG,"CAPSULE, EXTENDED RELEASE",ORAL,False,2010-10-18,True,RYTHMOL SR,21416,3,,0.0,,,,0.0,,,AB,1.0,1.0,1.0,1.0,1.0,41
ATENOLOL; CHLORTHALIDONE,TABLET;ORAL,ATENOLOL AND CHLORTHALIDONE,UNICHEM,100MG;25MG,A,213302,2,AB,"Nov 25, 2020",False,True,RX,UNICHEM LABORATORIES LTD,TABLET,ORAL,False,2020-11-25,True,TENORETIC 100,18760,1,,0.0,,,,0.0,,,AB,1.0,1.0,1.0,1.0,1.0,42
WARFARIN SODIUM,TABLET;ORAL,WARFARIN SODIUM,PLIVA,10MG,A,40616,8,AB,"Jul 5, 2006",False,True,RX,PLIVA INC,TABLET,ORAL,False,2006-07-05,True,COUMADIN,9218,5,,0.0,,,,0.0,,,AB,1.0,1.0,1.0,1.0,1.0,43
GLIPIZIDE,"TABLET, EXTENDED RELEASE;ORAL",GLIPIZIDE,UNIQUE,10MG,A,204720,3,AB,"Dec 29, 2016",False,True,RX,UNIQUE PHARMACEUTICAL LABORATORIES A DIV OF JB CHEMICALS AND PHARMACEUTICALS LTD,"TABLET, EXTENDED RELEASE",ORAL,False,2016-12-29,True,GLUCOTROL XL,20329,2,AB,0.0,,,,0.0,,,AB,1.0,1.0,1.0,1.0,1.0,44
DIVALPROEX SODIUM,"TABLET, EXTENDED RELEASE;ORAL",DIVALPROEX SODIUM,AMNEAL PHARMS,EQ 500MG VALPROIC ACID,A,203730,2,AB,"May 29, 2015",False,True,RX,AMNEAL PHARMACEUTICALS,"TABLET, EXTENDED RELEASE",ORAL,False,2015-05-29,True,DEPAKOTE ER,21168,1,AB,0.0,,,,0.0,,,AB,1.0,1.0,1.0,1.0,1.0,45
RITONAVIR,TABLET;ORAL,RITONAVIR,AUROBINDO PHARMA LTD,100MG,A,206614,1,AB,"Sep 17, 2018",False,True,RX,AUROBINDO PHARMA LTD,TABLET,ORAL,False,2018-09-17,True,NORVIR,22417,1,AB,0.0,,,,0.0,,,AB,1.0,1.0,1.0,1.0,1.0,46
RAMIPRIL,CAPSULE;ORAL,RAMIPRIL,LUPIN,10MG,A,77626,4,AB,"Jun 9, 2008",False,True,RX,LUPIN LTD,CAPSULE,ORAL,False,2008-06-09,True,ALTACE,19901,4,,0.0,,,,0.0,,,AB,1.0,1.0,1.0,1.0,1.0,47
AMPICILLIN/AMPICILLIN TRIHYDRATE,CAPSULE;ORAL,AMPICILLIN TRIHYDRATE,SANDOZ,EQ 500MG BASE,A,64082,2,AB,"Aug 29, 1995",False,True,RX,SANDOZ INC,CAPSULE,ORAL,False,1995-08-29,True,PRINCIPEN '500',50056,2,,0.0,,,,0.0,,,AB,1.0,1.0,1.0,1.0,1.0,48
AMLODIPINE BESYLATE; BENAZEPRIL HYDROCHLORIDE,CAPSULE;ORAL,AMLODIPINE BESYLATE AND BENAZEPRIL HYDROCHLORIDE,LUPIN PHARMS,EQ 10MG BASE;40MG,A,78466,6,AB,"Jul 5, 2011",False,True,RX,LUPIN PHARMACEUTICALS INC,CAPSULE,ORAL,False,2011-07-05,True,LOTREL,20364,6,,0.0,,,,0.0,,,AB,1.0,1.0,1.0,1.0,1.0,49
BENAZEPRIL HYDROCHLORIDE,TABLET;ORAL,BENAZEPRIL HYDROCHLORIDE,AUROBINDO PHARMA,40MG,A,78212,3,AB,"May 22, 2008",False,True,RX,AUROBINDO PHARMA LTD,TABLET,ORAL,False,2008-05-22,True,LOTENSIN,19851,4,AB,0.0,,,,0.0,,,AB,1.0,1.0,1.0,1.0,1.0,50
FLUTICASONE PROPIONATE,"SPRAY, METERED;NASAL",FLUTICASONE PROPIONATE,HIKMA,0.05MG/SPRAY,A,76504,1,AB,"Feb 22, 2006",False,True,RX,HIKMA PHARMACEUTICALS USA INC,"SPRAY, METERED",NASAL,False,2006-02-22,True,FLONASE ALLERGY RELIEF,205434,1,,0.0,,,,0.0,,,AB,1.0,1.0,1.0,1.0,1.0,51
DESMOPRESSIN ACETATE,"SPRAY, METERED;NASAL",DESMOPRESSIN ACETATE (NEEDS NO REFRIGERATION),APOTEX,0.01MG/SPRAY,A,76703,1,AB,"Jan 27, 2005",False,True,RX,APOTEX INC,"SPRAY, METERED",NASAL,False,2005-01-27,True,DDAVP (NEEDS NO REFRIGERATION),17922,3,,0.0,,,,0.0,,,AB,1.0,1.0,1.0,1.0,1.0,52
VALACYCLOVIR HYDROCHLORIDE,TABLET;ORAL,VALACYCLOVIR HYDROCHLORIDE,HETERO LABS LTD V,EQ 1GM BASE,A,203047,2,AB,"Apr 8, 2015",False,True,RX,HETERO LABS LTD UNIT V,TABLET,ORAL,False,2015-04-08,True,VALTREX,20487,2,AB,0.0,,,,0.0,,,AB,1.0,1.0,1.0,1.0,1.0,53
DAPSONE,TABLET;ORAL,DAPSONE,NOVITIUM PHARMA,100MG,A,206505,2,AB,"Dec 1, 2016",False,True,RX,NOVITIUM PHARMA LLC,TABLET,ORAL,False,2016-12-01,True,DAPSONE,86842,1,AB,0.0,,,,0.0,,,AB,1.0,1.0,1.0,1.0,1.0,54
MONTELUKAST SODIUM,GRANULE;ORAL,MONTELUKAST SODIUM,AJANTA PHARMA LTD,EQ 4MG BASE/PACKET,A,203438,1,AB,"Jul 31, 2015",False,True,RX,AJANTA PHARMA LTD,GRANULE,ORAL,False,2015-07-31,True,SINGULAIR,21409,1,,0.0,,,,0.0,,,AB,1.0,1.0,1.0,1.0,1.0,55
EVEROLIMUS,TABLET;ORAL,EVEROLIMUS,ALKEM LABS LTD,1MG,A,214138,4,AB,"Nov 26, 2021",False,True,RX,ALKEM LABORATORIES LTD,TABLET,ORAL,False,2021-11-26,True,ZORTRESS,21560,4,AB,0.0,,,,0.0,,,AB,1.0,1.0,1.0,1.0,1.0,56
